,Mobile_name,Processor,Storage,Screen_Length,Camera,Battery,Warranty,Rating & Reviews, Discount
91,"REDMI 12 (Pastel Blue, 128 GB)",64MP + 32MP + 8MP | 32MP Front Camera,64MP + 32MP + 8MP | 32MP Front Camera,64MP + 32MP + 8MP | 32MP Front Camera,64MP + 32MP + 8MP | 32MP Front Camera,64MP + 32MP + 8MP | 32MP Front Camera,64MP + 32MP + 8MP | 32MP Front Camera,"38,664 Ratings & 2,250 Reviews",28% off
92,"POCO C55 (Power Black, 128 GB)",5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,5000 mAh Battery,915 Ratings & 85 Reviews,39% off
93,"POCO M6 Pro 5G (Power Black, 128 GB)",Dimensity 7050 Processor,Dimensity 7050 Processor,Dimensity 7050 Processor,Dimensity 7050 Processor,Dimensity 7050 Processor,Dimensity 7050 Processor,"63,821 Ratings & 3,115 Reviews",23% off
94,"realme 11x 5G (Midnight Black, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"63,821 Ratings & 3,115 Reviews",15% off
95,"realme 11x 5G (Purple Dawn, 128 GB)",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,"17,973 Ratings & 888 Reviews",15% off
96,"realme 11x 5G (Purple Dawn, 128 GB)",16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,16.56 cm (6.52 inch) HD+ Display,"53,917 Ratings & 2,600 Reviews",11% off
97,"Infinix SMART 7 (Emerald Green, 64 GB)",8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,8MP Dual Rear Camera | 5MP Front Camera,"63,821 Ratings & 3,115 Reviews",30% off
98,"realme 11x 5G (Midnight Black, 128 GB)",6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,269 Ratings & 42 Reviews,11% off
99,"OPPO Find N2 Flip (Moonlit Purple, 256 GB)",17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,17.07 cm (6.72 inch) Full HD+ Display,"57,199 Ratings & 3,129 Reviews",10% off
100,"POCO C51 (Royal Blue, 64 GB)",64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,64MP + 2MP | 8MP Front Camera,"57,199 Ratings & 3,129 Reviews",35% off
